Cache Size (in KB),Block Size (in bytes),Associativity,Replacement,# Blocks,# Rows,Overhead,Imp Memory Size,Cost in $,Total cache accesses,Cache hits,Cache Misses,Comp Misses,Conf Misses,Hit Rate,Miss Rate,CPI,Unused Cache Space,% Unused Cache Space,Waste in $,Unused Cache Blocks
1024,64,16,RND,16384,1024,34816,1058,52.9,350466,345744,4722,4696,26,98.65265104,1.347348958,3.216954387,754.7548828,71.33789063,37.73774414,11688
8,4,1,RR,2048,2048,5120,13,0.65,255911,223421,32490,2041,30449,87.30417997,12.69582003,2.810232925,0.044433594,0.341796875,0.00222168,7
8,4,1,RND,2048,2048,5120,13,0.65,255911,223421,32490,2041,30449,87.30417997,12.69582003,2.810232925,0.044433594,0.341796875,0.00222168,7
8,4,2,RR,2048,1024,5376,13.25,0.65,255911,217239,38672,2048,36624,84.88849639,15.11150361,2.905236844,0,0,0,0
8,4,2,RND,2048,1024,5376,13.25,0.65,255911,230142,25769,2048,23721,89.93048364,10.06951636,2.706945746,0,0,0,0
8,4,4,RR,2048,512,5632,13.5,0.65,255911,210071,45840,2048,43792,82.08752262,17.91247738,3.015393442,0,0,0,0
8,4,4,RND,2048,512,5632,13.5,0.65,255911,231219,24692,2048,22644,90.35133308,9.648666919,2.690394595,0,0,0,0
8,4,8,RR,2048,256,5888,13.75,0.65,255911,204255,51656,2048,49608,79.81485751,20.18514249,3.104772735,0,0,0,0
8,4,8,RND,2048,256,5888,13.75,0.65,255911,231363,24548,2048,22500,90.40760264,9.592397357,2.688181627,0,0,0,0
8,4,16,RR,2048,128,6144,14,0.7,255911,196796,59115,2048,57067,76.90017233,23.09982767,3.219401372,0,0,0,0
8,4,16,RND,2048,128,6144,14,0.7,255911,231370,24541,2048,22493,90.41033797,9.589662031,2.688074052,0,0,0,0
8,16,1,RR,512,512,1280,9.25,0.45,255911,237493,18418,512,17906,92.80296666,7.197033344,3.443110858,0,0,0,0
8,16,1,RND,512,512,1280,9.25,0.45,255911,237493,18418,512,17906,92.80296666,7.197033344,3.443110858,0,0,0,0
8,16,2,RR,512,256,1344,9.3125,0.45,255911,234374,21537,512,21025,91.58418356,8.415816436,3.634839893,0,0,0,0
8,16,2,RND,512,256,1344,9.3125,0.45,255911,241727,14184,512,13672,94.4574481,5.542551903,3.182841307,0,0,0,0
8,16,4,RR,512,128,1408,9.375,0.45,255911,229765,26146,512,25634,89.7831668,10.2168332,3.918161188,0,0,0,0
8,16,4,RND,512,128,1408,9.375,0.45,255911,242384,13527,512,13015,94.71417798,5.285822024,3.142454652,0,0,0,0
8,16,8,RR,512,64,1472,9.4375,0.45,255911,226726,29185,512,28673,88.59564458,11.40435542,4.104972517,0,0,0,0
8,16,8,RND,512,64,1472,9.4375,0.45,255911,243142,12769,512,12257,95.0103747,4.989625299,3.095859395,0,0,0,0
8,16,16,RR,512,32,1536,9.5,0.45,255911,221822,34089,512,33577,86.67935337,13.32064663,4.406427851,0,0,0,0
8,16,16,RND,512,32,1536,9.5,0.45,255911,243024,12887,512,12375,94.96426492,5.03573508,3.10311301,0,0,0,0
8,64,1,RR,128,128,320,8.3125,0.4,255911,243853,12058,128,11930,95.28820567,4.711794335,5.275816672,0,0,0,0
8,64,1,RND,128,128,320,8.3125,0.4,255911,243853,12058,128,11930,95.28820567,4.711794335,5.275816672,0,0,0,0
8,64,2,RR,128,64,336,8.328125,0.4,255911,242024,13887,128,13759,94.57350407,5.42649593,5.72554082,0,0,0,0
8,64,2,RND,128,64,336,8.328125,0.4,255911,248081,7830,128,7702,96.94034254,3.059657459,4.236213777,0,0,0,0
8,64,4,RR,128,32,352,8.34375,0.4,255911,237567,18344,128,18216,92.83188296,7.168117041,6.82145144,0,0,0,0
8,64,4,RND,128,32,352,8.34375,0.4,255911,248372,7539,128,7411,97.05405395,2.945946052,4.164661165,0,0,0,0
8,64,8,RR,128,16,368,8.359375,0.4,255911,234820,21091,128,20963,91.7584629,8.241537097,7.49689826,0,0,0,0
8,64,8,RND,128,16,368,8.359375,0.4,255911,249017,6894,128,6766,97.3060947,2.693905303,4.00606517,0,0,0,0
8,64,16,RR,128,8,384,8.375,0.4,255911,226839,29072,128,28944,88.63980056,11.36019944,9.45930855,0,0,0,0
8,64,16,RND,128,8,384,8.375,0.4,255911,249178,6733,128,6605,97.36900719,2.630992806,3.966477642,0,0,0,0
